n	E	absM	accepted
22000	-5.14504E+02	2.47029E+02	5510
23000	-5.15210E+02	2.47962E+02	5724
24000	-5.17745E+02	2.50384E+02	5906
25000	-5.19411E+02	2.51638E+02	6115
26000	-5.20892E+02	2.52524E+02	6325
27000	-5.23014E+02	2.54610E+02	6515
28000	-5.24453E+02	2.56342E+02	6731
29000	-5.25789E+02	2.57751E+02	6937
30000	-5.26647E+02	2.58584E+02	7160
31000	-5.28826E+02	2.59806E+02	7356
32000	-5.30834E+02	2.61202E+02	7543
33000	-5.32399E+02	2.62712E+02	7733
34000	-5.32996E+02	2.63838E+02	7938
35000	-5.34961E+02	2.65364E+02	8121
36000	-5.37198E+02	2.66908E+02	8268
37000	-5.39105E+02	2.68125E+02	8437
38000	-5.39711E+02	2.69002E+02	8630
39000	-5.41801E+02	2.70387E+02	8790
40000	-5.44076E+02	2.71894E+02	8929
41000	-5.45057E+02	2.72888E+02	9132
42000	-5.46745E+02	2.74487E+02	9291
43000	-5.48534E+02	2.76117E+02	9425
44000	-5.50859E+02	2.77822E+02	9561
45000	-5.51557E+02	2.78643E+02	9748
46000	-5.52083E+02	2.79332E+02	9908
47000	-5.52403E+02	2.79873E+02	10111
48000	-5.52518E+02	2.80478E+02	10332
49000	-5.52167E+02	2.80561E+02	10559
50000	-5.51663E+02	2.80320E+02	10813
51000	-5.50899E+02	2.79739E+02	11043
52000	-5.51609E+02	2.79874E+02	11219
53000	-5.51501E+02	2.79919E+02	11435
54000	-5.51133E+02	2.80025E+02	11674
55000	-5.51936E+02	2.80827E+02	11844
56000	-5.53356E+02	2.81676E+02	11974
57000	-5.54391E+02	2.82376E+02	12134
58000	-5.54824E+02	2.82882E+02	12313
59000	-5.54861E+02	2.83159E+02	12532
60000	-5.54669E+02	2.83339E+02	12768
61000	-5.54462E+02	2.83595E+02	12989
62000	-5.55293E+02	2.84143E+02	13178
63000	-5.55280E+02	2.84467E+02	13387
64000	-5.55941E+02	2.85053E+02	13555
65000	-5.56020E+02	2.85396E+02	13783
66000	-5.56642E+02	2.85995E+02	13935
67000	-5.56965E+02	2.86489E+02	14133
68000	-5.57169E+02	2.86849E+02	14325
69000	-5.58000E+02	2.87339E+02	14477
70000	-5.58017E+02	2.87513E+02	14691
71000	-5.57906E+02	2.87398E+02	14901
72000	-5.57890E+02	2.87557E+02	15098
73000	-5.57620E+02	2.87316E+02	15344
74000	-5.56424E+02	2.86635E+02	15623
75000	-5.55233E+02	2.85904E+02	15942
76000	-5.53762E+02	2.83967E+02	16284
77000	-5.52296E+02	2.81601E+02	16601
78000	-5.50688E+02	2.78727E+02	16947
79000	-5.49104E+02	2.75876E+02	17295
80000	-5.47457E+02	2.73874E+02	17650
81000	-5.45930E+02	2.72061E+02	17994
82000	-5.44808E+02	2.70009E+02	18290
83000	-5.43610E+02	2.68310E+02	18632
84000	-5.42318E+02	2.66851E+02	18940
85000	-5.41020E+02	2.65346E+02	19255
86000	-5.39419E+02	2.63682E+02	19607
87000	-5.37566E+02	2.62114E+02	19963
88000	-5.36282E+02	2.60839E+02	20308
89000	-5.34951E+02	2.59599E+02	20643
90000	-5.33900E+02	2.59045E+02	20967
91000	-5.33364E+02	2.58968E+02	21224
92000	-5.33029E+02	2.58719E+02	21508
93000	-5.32587E+02	2.58426E+02	21780
94000	-5.32359E+02	2.58281E+02	22031
95000	-5.32683E+02	2.58491E+02	22218
96000	-5.32889E+02	2.58656E+02	22424
97000	-5.32694E+02	2.58757E+02	22653
98000	-5.33027E+02	2.59086E+02	22881
99000	-5.32824E+02	2.59260E+02	23111
100000	-5.32427E+02	2.59135E+02	23377
110000	-5.34377E+02	2.61938E+02	25506
120000	-5.39711E+02	2.67404E+02	27336
130000	-5.41107E+02	2.69591E+02	29356
140000	-5.37529E+02	2.66155E+02	32109
150000	-5.32653E+02	2.60613E+02	35115
160000	-5.29434E+02	2.57281E+02	37988
170000	-5.28065E+02	2.56395E+02	40594
180000	-5.24724E+02	2.53583E+02	43440
190000	-5.22254E+02	2.50527E+02	46341
200000	-5.20937E+02	2.49285E+02	48961
210000	-5.21443E+02	2.49684E+02	51288
220000	-5.22521E+02	2.50426E+02	53486
230000	-5.19831E+02	2.46589E+02	56416
240000	-5.19412E+02	2.45427E+02	58950
250000	-5.16320E+02	2.41571E+02	62112
260000	-5.13351E+02	2.34750E+02	65350
270000	-5.11370E+02	2.27492E+02	68412
280000	-5.09249E+02	2.22790E+02	71483
290000	-5.07950E+02	2.19147E+02	74416
300000	-5.07818E+02	2.17392E+02	77015
310000	-5.08463E+02	2.17642E+02	79435
320000	-5.09382E+02	2.19113E+02	81729
330000	-5.09206E+02	2.19798E+02	84306
340000	-5.08983E+02	2.19678E+02	86957
350000	-5.07874E+02	2.19386E+02	89870
360000	-5.07783E+02	2.18457E+02	92450
370000	-5.07075E+02	2.15229E+02	95212
380000	-5.05407E+02	2.11150E+02	98362
390000	-5.03867E+02	2.08612E+02	101528
400000	-5.05700E+02	2.11028E+02	103349
410000	-5.07609E+02	2.13324E+02	105261
420000	-5.08690E+02	2.14882E+02	107415
430000	-5.08822E+02	2.15643E+02	109941
440000	-5.09054E+02	2.16953E+02	112408
450000	-5.09860E+02	2.18151E+02	114703
460000	-5.09905E+02	2.18643E+02	117265
470000	-5.09759E+02	2.17872E+02	119802
480000	-5.10590E+02	2.19089E+02	122021
490000	-5.11321E+02	2.19510E+02	124197
500000	-5.11158E+02	2.18486E+02	126795
510000	-5.10767E+02	2.16956E+02	129510
520000	-5.10286E+02	2.15740E+02	132303
530000	-5.09241E+02	2.12830E+02	135315
540000	-5.08242E+02	2.11395E+02	138372
550000	-5.07567E+02	2.10270E+02	141251
560000	-5.07828E+02	2.09704E+02	143711
570000	-5.06429E+02	2.06941E+02	147032
580000	-5.05816E+02	2.04412E+02	150018
590000	-5.05675E+02	2.02792E+02	152675
600000	-5.05008E+02	2.00277E+02	155633
610000	-5.03818E+02	1.97574E+02	158899
620000	-5.03206E+02	1.96650E+02	161906
630000	-5.02626E+02	1.94980E+02	164859
640000	-5.02028E+02	1.93648E+02	167822
650000	-5.00956E+02	1.91355E+02	171075
660000	-5.00090E+02	1.89045E+02	174181
670000	-4.99656E+02	1.87891E+02	177115
680000	-4.99523E+02	1.87620E+02	179891
690000	-4.99602E+02	1.88380E+02	182452
700000	-4.99402E+02	1.87969E+02	185228
710000	-4.98911E+02	1.87911E+02	188217
720000	-4.99055E+02	1.88838E+02	190807
730000	-5.00223E+02	1.90529E+02	192724
740000	-5.00887E+02	1.91959E+02	194895
750000	-5.01733E+02	1.93430E+02	196968
760000	-5.01873E+02	1.94160E+02	199491
770000	-5.02707E+02	1.95561E+02	201572
780000	-5.03242E+02	1.96662E+02	203837
790000	-5.03977E+02	1.97933E+02	205869
800000	-5.04243E+02	1.98780E+02	208289
810000	-5.05167E+02	2.00204E+02	210222
820000	-5.05389E+02	2.00934E+02	212605
830000	-5.05192E+02	2.00941E+02	215429
840000	-5.05351E+02	2.01108E+02	217879
850000	-5.05038E+02	1.99729E+02	220695
860000	-5.04322E+02	1.98854E+02	223891
870000	-5.04140E+02	1.99101E+02	226664
880000	-5.04331E+02	1.99713E+02	229142
890000	-5.03868E+02	1.99449E+02	232209
900000	-5.04059E+02	1.99800E+02	234569
910000	-5.04339E+02	2.00587E+02	236877
920000	-5.04349E+02	2.00524E+02	239497
930000	-5.03924E+02	1.98910E+02	242389
940000	-5.03154E+02	1.97341E+02	245618
950000	-5.02674E+02	1.97212E+02	248744
960000	-5.02072E+02	1.96508E+02	251889
970000	-5.01376E+02	1.94962E+02	255126
980000	-5.01158E+02	1.94334E+02	258010
990000	-5.00438E+02	1.92861E+02	261337
1000000	-4.99614E+02	1.91386E+02	264773
1100000	-4.96245E+02	1.79765E+02	294761
1200000	-4.93887E+02	1.73014E+02	324421
1300000	-4.92349E+02	1.71154E+02	353135
1400000	-4.94270E+02	1.75924E+02	377873
1500000	-4.94377E+02	1.77800E+02	404815
1600000	-4.93838E+02	1.78845E+02	432467
1700000	-4.93071E+02	1.77542E+02	460862
1800000	-4.90967E+02	1.72185E+02	491444
1900000	-4.91142E+02	1.74691E+02	518456
2000000	-4.91392E+02	1.76107E+02	545312
2100000	-4.90265E+02	1.74009E+02	574739
2200000	-4.90660E+02	1.75574E+02	601173
2300000	-4.91763E+02	1.78432E+02	626219
2400000	-4.90524E+02	1.75153E+02	656133
2500000	-4.90608E+02	1.74779E+02	683164
2600000	-4.91871E+02	1.77281E+02	707436
2700000	-4.91362E+02	1.75962E+02	735826
2800000	-4.92989E+02	1.79054E+02	758877
2900000	-4.92543E+02	1.77298E+02	787262
3000000	-4.92522E+02	1.77379E+02	814487
3100000	-4.92383E+02	1.76585E+02	842103
3200000	-4.91778E+02	1.76361E+02	871064
3300000	-4.90917E+02	1.75322E+02	900841
3400000	-4.90774E+02	1.75049E+02	928406
3500000	-4.89922E+02	1.72771E+02	958310
3600000	-4.89046E+02	1.71670E+02	988708
3700000	-4.89397E+02	1.72238E+02	1015165
3800000	-4.89812E+02	1.72490E+02	1041255
3900000	-4.91219E+02	1.75135E+02	1063571
4000000	-4.91865E+02	1.76841E+02	1088222
4100000	-4.91942E+02	1.76611E+02	1115375
4200000	-4.91198E+02	1.76171E+02	1145450
4300000	-4.91062E+02	1.75762E+02	1173133
4400000	-4.91961E+02	1.77632E+02	1196628
4500000	-4.91699E+02	1.77269E+02	1225074
4600000	-4.91992E+02	1.77801E+02	1250984
4700000	-4.92434E+02	1.78923E+02	1276199
4800000	-4.92601E+02	1.79252E+02	1302589
4900000	-4.92327E+02	1.78669E+02	1330898
5000000	-4.92295E+02	1.78582E+02	1358369
5100000	-4.91766E+02	1.77475E+02	1387758
5200000	-4.92355E+02	1.78689E+02	1412241
5300000	-4.92490E+02	1.78415E+02	1438795
5400000	-4.92425E+02	1.78587E+02	1466309
5500000	-4.92598E+02	1.78797E+02	1492521
5600000	-4.92416E+02	1.78114E+02	1520930
5700000	-4.91834E+02	1.77267E+02	1550990
5800000	-4.91554E+02	1.76859E+02	1579398
5900000	-4.91581E+02	1.77141E+02	1606089
6000000	-4.91295E+02	1.76646E+02	1634900
6100000	-4.91681E+02	1.77437E+02	1659988
6200000	-4.91708E+02	1.77880E+02	1687007
6300000	-4.91497E+02	1.77059E+02	1715430
6400000	-4.91370E+02	1.76887E+02	1743333
6500000	-4.91652E+02	1.77495E+02	1769050
6600000	-4.92784E+02	1.79282E+02	1789448
