body	t	x	y	z
0	6.500E-01	2.813E-03	5.023E-03	-1.437E-04
1	6.500E-01	7.987E-02	2.988E-01	2.400E-02
2	6.500E-01	5.608E-01	-4.613E-01	-3.874E-02
3	6.500E-01	-4.761E-02	-1.010E+00	-1.001E-04
4	6.500E-01	-4.507E-02	-1.010E+00	-2.100E-04
5	6.500E-01	-4.468E-01	1.547E+00	4.321E-02
6	6.500E-01	-5.000E+00	-2.161E+00	1.208E-01
7	6.500E-01	-9.869E-01	-1.000E+01	2.131E-01
8	6.500E-01	1.807E+01	8.404E+00	-2.029E-01
9	6.500E-01	2.850E+01	-9.185E+00	-4.678E-01
0	6.750E-01	2.774E-03	5.078E-03	-1.429E-04
1	6.750E-01	-2.141E-01	2.495E-01	3.081E-02
2	6.750E-01	6.590E-01	-3.069E-01	-4.229E-02
3	6.750E-01	1.067E-01	-1.006E+00	-1.005E-04
4	6.750E-01	1.053E-01	-1.004E+00	-1.674E-04
5	6.750E-01	-5.633E-01	1.518E+00	4.545E-02
6	6.750E-01	-4.973E+00	-2.221E+00	1.204E-01
7	6.750E-01	-9.390E-01	-1.001E+01	2.113E-01
8	6.750E-01	1.805E+01	8.435E+00	-2.026E-01
9	6.750E-01	2.851E+01	-9.157E+00	-4.686E-01
0	7.000E-01	2.735E-03	5.132E-03	-1.420E-04
1	7.000E-01	-3.759E-01	3.416E-02	1.718E-02
2	7.000E-01	7.154E-01	-1.326E-01	-4.316E-02
3	7.000E-01	2.586E-01	-9.787E-01	-1.052E-04
4	7.000E-01	2.574E-01	-9.811E-01	1.368E-04
5	7.000E-01	-6.764E-01	1.479E+00	4.742E-02
6	7.000E-01	-4.945E+00	-2.281E+00	1.201E-01
7	7.000E-01	-8.911E-01	-1.001E+01	2.095E-01
8	7.000E-01	1.804E+01	8.466E+00	-2.023E-01
9	7.000E-01	2.852E+01	-9.130E+00	-4.693E-01
0	7.250E-01	2.694E-03	5.186E-03	-1.411E-04
1	7.250E-01	-3.729E-01	-2.015E-01	-4.701E-03
2	7.250E-01	7.264E-01	5.039E-02	-4.128E-02
3	7.250E-01	4.044E-01	-9.283E-01	-1.027E-04
4	7.250E-01	4.070E-01	-9.286E-01	-2.225E-04
5	7.250E-01	-7.856E-01	1.433E+00	4.912E-02
6	7.250E-01	-4.917E+00	-2.340E+00	1.197E-01
7	7.250E-01	-8.431E-01	-1.002E+01	2.076E-01
8	7.250E-01	1.802E+01	8.497E+00	-2.020E-01
9	7.250E-01	2.853E+01	-9.102E+00	-4.701E-01
0	7.500E-01	2.653E-03	5.240E-03	-1.402E-04
1	7.500E-01	-2.521E-01	-3.762E-01	-2.550E-02
2	7.500E-01	6.910E-01	2.305E-01	-3.677E-02
3	7.500E-01	5.409E-01	-8.561E-01	-1.059E-04
4	7.500E-01	5.395E-01	-8.541E-01	-1.792E-04
5	7.500E-01	-8.904E-01	1.378E+00	5.054E-02
6	7.500E-01	-4.888E+00	-2.399E+00	1.193E-01
7	7.500E-01	-7.952E-01	-1.002E+01	2.058E-01
8	7.500E-01	1.801E+01	8.528E+00	-2.016E-01
9	7.500E-01	2.854E+01	-9.075E+00	-4.709E-01
0	7.750E-01	2.612E-03	5.293E-03	-1.392E-04
1	7.750E-01	-6.611E-02	-4.551E-01	-3.999E-02
2	7.750E-01	6.113E-01	3.961E-01	-2.990E-02
3	7.750E-01	6.647E-01	-7.635E-01	-1.132E-04
4	7.750E-01	6.635E-01	-7.659E-01	1.331E-04
5	7.750E-01	-9.901E-01	1.315E+00	5.168E-02
6	7.750E-01	-4.858E+00	-2.457E+00	1.188E-01
7	7.750E-01	-7.472E-01	-1.002E+01	2.039E-01
8	7.750E-01	1.799E+01	8.558E+00	-2.013E-01
9	7.750E-01	2.855E+01	-9.047E+00	-4.716E-01
0	8.000E-01	2.570E-03	5.346E-03	-1.383E-04
1	8.000E-01	1.362E-01	-4.236E-01	-4.491E-02
2	8.000E-01	4.922E-01	5.365E-01	-2.111E-02
3	8.000E-01	7.729E-01	-6.529E-01	-1.129E-04
4	8.000E-01	7.754E-01	-6.531E-01	-2.364E-04
5	8.000E-01	-1.084E+00	1.246E+00	5.253E-02
6	8.000E-01	-4.827E+00	-2.515E+00	1.184E-01
7	8.000E-01	-6.992E-01	-1.003E+01	2.021E-01
8	8.000E-01	1.797E+01	8.589E+00	-2.010E-01
9	8.000E-01	2.855E+01	-9.020E+00	-4.724E-01
0	8.250E-01	2.527E-03	5.398E-03	-1.374E-04
1	8.250E-01	3.014E-01	-2.786E-01	-3.791E-02
2	8.250E-01	3.414E-01	6.423E-01	-1.095E-02
3	8.250E-01	8.629E-01	-5.267E-01	-1.181E-04
4	8.250E-01	8.615E-01	-5.246E-01	-1.986E-04
5	8.250E-01	-1.173E+00	1.169E+00	5.309E-02
6	8.250E-01	-4.796E+00	-2.573E+00	1.179E-01
7	8.250E-01	-6.511E-01	-1.003E+01	2.002E-01
8	8.250E-01	1.796E+01	8.620E+00	-2.007E-01
9	8.250E-01	2.856E+01	-8.992E+00	-4.732E-01
0	8.500E-01	2.484E-03	5.450E-03	-1.364E-04
1	8.500E-01	3.611E-01	-3.950E-02	-1.815E-02
2	8.500E-01	1.683E-01	7.065E-01	-9.122E-05
3	8.500E-01	9.323E-01	-3.877E-01	-1.271E-04
4	8.500E-01	9.311E-01	-3.901E-01	1.191E-04
5	8.500E-01	-1.254E+00	1.086E+00	5.336E-02
6	8.500E-01	-4.764E+00	-2.630E+00	1.174E-01
7	8.500E-01	-6.031E-01	-1.004E+01	1.984E-01
8	8.500E-01	1.794E+01	8.650E+00	-2.004E-01
9	8.500E-01	2.857E+01	-8.965E+00	-4.739E-01
0	8.750E-01	2.440E-03	5.502E-03	-1.354E-04
1	8.750E-01	2.399E-01	2.126E-01	9.808E-03
2	8.750E-01	-1.555E-02	7.246E-01	1.077E-02
3	8.750E-01	9.795E-01	-2.395E-01	-1.281E-04
4	8.750E-01	9.820E-01	-2.397E-01	-2.484E-04
5	8.750E-01	-1.330E+00	9.972E-01	5.334E-02
6	8.750E-01	-4.731E+00	-2.687E+00	1.169E-01
7	8.750E-01	-5.550E-01	-1.004E+01	1.965E-01
8	8.750E-01	1.793E+01	8.681E+00	-2.000E-01
9	8.750E-01	2.858E+01	-8.937E+00	-4.747E-01
0	9.000E-01	2.395E-03	5.553E-03	-1.344E-04
1	9.000E-01	-4.563E-02	3.088E-01	2.972E-02
2	9.000E-01	-1.983E-01	6.954E-01	2.091E-02
3	9.000E-01	1.003E+00	-8.531E-02	-1.340E-04
4	9.000E-01	1.002E+00	-8.321E-02	-2.147E-04
5	9.000E-01	-1.397E+00	9.031E-01	5.303E-02
6	9.000E-01	-4.697E+00	-2.743E+00	1.164E-01
7	9.000E-01	-5.070E-01	-1.004E+01	1.947E-01
8	9.000E-01	1.791E+01	8.712E+00	-1.997E-01
9	9.000E-01	2.859E+01	-8.910E+00	-4.755E-01
0	9.250E-01	2.350E-03	5.604E-03	-1.334E-04
